name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Commercial on Mockingbird Lane,commercial,"Dallas County, Texas",Mockingbird Lane,32.83639380144652,-96.80560028,47048.99533,30581.85,2841.053865,912547.0,912.55,2500.1,69.4,5462,90492,1,67,0.0871,Medium,Medium,Low,305703.0,305.7,568.21,0.568,1136420.0,1.136
Commercial on Lomo Alto Drive,commercial,"Dallas County, Texas",Lomo Alto Drive,32.86130018578164,-96.81119488,30090.19680050333,19558.63,1816.996727,583619.0,583.62,1599.0,44.4,4204,56595,1,24,0.0663,Low,Medium,Low,195512.0,195.51,363.4,0.363,726800.0,0.727
Commercial on Berkshire Lane,commercial,"Dallas County, Texas",Berkshire Lane,32.86493825094828,-96.80474899,54079.75042480425,35151.84,3265.6059359999995,1048913.0,1048.91,2873.7,79.8,5041,60002,1,25,0.0816,Medium,Medium,Low,351386.0,351.39,653.12,0.653,1306240.0,1.306
Commercial on North Greenville Avenue,commercial,"Dallas County, Texas",North Greenville Avenue,32.97803478863397,-96.70787057,50939.97024,33110.98,3076.0100420000003,988014.0,988.01,2706.9,75.1,3846,43249,11,37,0.0634,Medium,Low,Medium,330985.0,330.98,615.2,0.615,1230400.0,1.23
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.95515455,-96.7132349,40707.56666078163,26459.92,2458.126568,789550.0,789.55,2163.2,60.0,3783,50823,2,23,0.0613,Low,Low,Low,264499.0,264.5,491.63,0.492,983260.0,0.983
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.95794159002869,-96.70832955,46613.85529303048,30299.01,2814.778029,904107.0,904.11,2477.0,68.7,3725,49522,3,20,0.0611,Medium,Low,Medium,302876.0,302.88,562.96,0.563,1125920.0,1.126
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.95898040562181,-96.70827591,44201.23042761826,28730.8,2669.09132,857312.0,857.31,2348.8,65.2,3665,49295,3,22,0.0599,Medium,Low,Medium,287200.0,287.2,533.82,0.534,1067640.0,1.068
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.95988135040293,-96.70607509,79263.86221235368,51521.51,4786.348279,1537375.0,1537.38,4212.0,116.9,3684,49304,3,21,0.0644,Medium,Low,Medium,515021.0,515.02,957.27,0.957,1914540.0,1.915
Commercial on Executive Drive East,commercial,"Dallas County, Texas",Executive Drive East,32.96273320009247,-96.70990146,35428.55014473862,23028.56,2139.353224,687160.0,687.16,1882.6,52.2,3542,48365,8,24,0.057,Low,Low,Medium,230199.0,230.2,427.87,0.428,855740.0,0.856
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.961322192523326,-96.70844069,53524.15592,34790.7,3232.05603,1038136.0,1038.14,2844.2,78.9,3549,48856,5,22,0.0593,Medium,Low,Medium,347776.0,347.78,646.41,0.646,1292820.0,1.293
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.96138721462992,-96.71462177,47162.34635511941,30655.53,2847.898737,914745.0,914.74,2506.2,69.6,3634,48753,5,26,0.0598,Medium,Low,Medium,306440.0,306.44,569.58,0.57,1139160.0,1.139
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.961315373126475,-96.70648278,52651.96336242783,34223.78,3179.389162,1021220.0,1021.22,2797.9,77.6,3576,48934,4,23,0.0596,Medium,Low,Medium,342109.0,342.11,635.88,0.636,1271760.0,1.272
Commercial on Alma Road,commercial,"Dallas County, Texas",Alma Road,32.96224309154989,-96.71622131,44390.23845249571,28853.65,2680.504085,860978.0,860.98,2358.8,65.5,3676,48720,5,28,0.0601,Medium,Low,Medium,288428.0,288.43,536.1,0.536,1072200.0,1.072
