name,building,Building_Sq_Ft,county,latitude,longitude
Formosa May,warehouse,115772.76607339656,"Dallas County, Texas",32.89089476084419,-96.68928157
,warehouse,223822.24856077798,"Dallas County, Texas",32.889748346688634,-96.68874588
,warehouse,197541.2865,"Dallas County, Texas",32.88693129022541,-96.68947046
,warehouse,219340.63731920972,"Dallas County, Texas",32.89201275821728,-96.68526057
,warehouse,165545.1471813373,"Dallas County, Texas",32.888023155356414,-96.68428322
,warehouse,227693.85661162445,"Dallas County, Texas",32.88702136055657,-96.68709396
,warehouse,240817.1479396312,"Dallas County, Texas",32.88996699,-96.68519502
,warehouse,308920.3801157119,"Dallas County, Texas",32.89266188204852,-96.69207448
,warehouse,110753.49104190941,"Dallas County, Texas",32.89392455,-96.69211085
,warehouse,175958.94767237842,"Dallas County, Texas",32.89570169674727,-96.69288633
,commercial,86271.43441421619,"Dallas County, Texas",32.884742550000006,-96.68758815
,commercial,65610.80996,"Dallas County, Texas",32.88549672730765,-96.68761444
,warehouse,100254.2587115214,"Dallas County, Texas",32.89387402115771,-96.68616642
,warehouse,64137.309758720905,"Dallas County, Texas",32.893870512812185,-96.68412715
,warehouse,85661.70473187411,"Dallas County, Texas",32.89291957120064,-96.68416815
,warehouse,127390.86677945202,"Dallas County, Texas",32.89292637138809,-96.68615256
,warehouse,204909.2015898615,"Dallas County, Texas",32.88854787,-96.69584645
,warehouse,506480.15376393625,"Dallas County, Texas",32.891716799217164,-96.69611218
,warehouse,228797.43114100088,"Dallas County, Texas",32.88996968189965,-96.69592996
Park Lane,retail,201028.8165943567,"Dallas County, Texas",32.87317833335528,-96.76813845
Dallas ISD,commercial,26489.429526842112,"Dallas County, Texas",32.87652266791404,-96.76830043
8750 NorthPark Central,office,25792.504129790632,"Dallas County, Texas",32.86706342448361,-96.76903686
,commercial,164726.82795412367,"Dallas County, Texas",32.87508832990376,-96.767814
,commercial,62269.61381603568,"Dallas County, Texas",32.82287219999999,-96.9961577
,commercial,61443.07551151173,"Dallas County, Texas",32.822871025354274,-96.99547575
,retail,33816.528997246765,"Dallas County, Texas",32.82765568374745,-96.9953791
,retail,59242.38284106001,"Dallas County, Texas",32.829806854806826,-96.99549069
,retail,49936.53761,"Dallas County, Texas",32.83412107893654,-96.99751905
Lowe's,retail,145665.04530109285,"Dallas County, Texas",32.833203527726674,-96.99584889
The Home Depot,retail,102474.11497062913,"Dallas County, Texas",32.83361569419456,-96.99106239
,office,27918.485808119472,"Dallas County, Texas",32.894894505795705,-96.96702738
,office,28859.377375361397,"Dallas County, Texas",32.896145874373836,-96.96891006
,office,33997.20593891112,"Dallas County, Texas",32.89531240150712,-96.96817305
Starplex 17,commercial,36360.38035781711,"Dallas County, Texas",32.83345674437501,-97.00675302
,office,21918.48074852954,"Dallas County, Texas",32.926804098107105,-96.81457416
,commercial,25570.41044537029,"Dallas County, Texas",32.92693764151893,-96.81542556
Target,retail,126190.07976395157,"Dallas County, Texas",32.92820906098617,-96.81355395
,commercial,27330.18322712946,"Dallas County, Texas",32.92820514,-96.81502174
Two Galleria Tower,office,27846.99161,"Dallas County, Texas",32.930855597638086,-96.81862459
One Galleria Tower,office,22776.843642380376,"Dallas County, Texas",32.929417169953595,-96.81864688
,commercial,29947.35199755404,"Dallas County, Texas",32.865018531541644,-96.80233551
,retail,20750.173319323203,"Dallas County, Texas",32.86517842876597,-96.8056587
,retail,44799.861950246435,"Dallas County, Texas",32.86403687532252,-96.80475074
,commercial,37312.30955081577,"Dallas County, Texas",32.86362043251273,-96.80374342
,commercial,35962.43166654042,"Dallas County, Texas",32.86272306315102,-96.80480425
